id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Mateo;Trujillo;Gabriela_Santacruz33@hotmail.com;Manzana virtual Congolese;2022-09-15T08:39:44;5568;71669
2;Teodoro;Partida;Adela42@hotmail.com;ADP Murcia Global;2022-09-15T03:23:41;59969;53558
3;Verónica;García;Clara_Abreu88@hotmail.com;Salchichas;2022-09-15T08:03:45;20101;24588
4;Rafael;Carmona;Mercedes.Cadena@hotmail.com;payment;2022-09-15T08:57:30;29718;81139
5;Mateo;Perea;Alberto71@gmail.com;turn-key Algodón synergize;2022-09-14T23:44:45;84121;42798
6;Caridad;Ulibarri;Roco_Irizarry42@gmail.com;Pescado;2022-09-14T16:32:25;56285;80423
7;Mónica;Abeyta;Elena73@yahoo.com;Berkshire;2022-09-15T11:36:25;81591;82059
8;Sofía;Regalado;Carla.Delao26@yahoo.com;microchip;2022-09-15T04:42:30;36111;76249
9;María Elena;Cerda;Teresa.Alejandro74@gmail.com;Intercambiable solid;2022-09-15T11:51:21;99851;32007
10;Adriana;Rosas;Sofa_Granados@hotmail.com;Rambla;2022-09-15T07:02:50;65328;19982
